timestamp px py pz qx qy qz qw
154.800000000 18.117862573 -0.100118124 -0.030273793 0.006117811 0.007449513 -0.011105720 0.999891864
155.400000000 18.327754850 -0.089374453 -0.045053901 -0.016175472 0.003810600 -0.011027395 0.999801095
155.900000000 18.509503672 -0.099495165 -0.037507125 0.007643943 0.007266085 -0.010589953 0.999888307
156.500000000 18.697375266 -0.095394967 -0.039961230 -0.015321986 0.003663844 -0.011617338 0.999808407
157.000000000 18.886046447 -0.112075372 -0.037649456 0.006689673 0.008147125 -0.010966110 0.999884302
157.600000000 19.096563473 -0.105416336 -0.046600832 -0.015186894 0.003080349 -0.010829620 0.999821279
158.100000000 19.269307533 -0.124638287 -0.036916764 0.008419314 0.008746530 -0.010703401 0.999869017
158.700000000 19.482770902 -0.110644926 -0.043650945 -0.016899827 0.004100468 -0.010328303 0.999795433
159.200000000 19.654223999 -0.133070928 -0.028602136 0.006755655 0.008018989 -0.010230849 0.999892688
159.500000000 19.756846795 -0.135731898 -0.040411912 0.005697025 0.008944928 -0.028943672 0.999524785
159.600000000 19.799731681 -0.162245159 -0.041392813 0.013690375 0.008667856 -0.068271491 0.997535185
159.700000000 19.827615297 -0.170887741 -0.028813667 -0.009619854 0.009260514 -0.110679651 0.993766429
159.800000000 19.861423320 -0.198741818 -0.022256682 -0.020233447 0.006202192 -0.168413138 0.985489298
159.900000000 19.876076568 -0.229432484 -0.013016961 -0.014746872 -0.012652911 -0.215682499 0.976270195
160.000000000 19.905254740 -0.253527678 -0.055918908 -0.001241527 0.004290102 -0.237310186 0.971423661
160.100000000 19.933065586 -0.287888839 -0.054555303 -0.004835060 0.011681978 -0.280971557 0.959632814
160.200000000 19.944212686 -0.323067849 -0.057531741 -0.000399850 -0.003571833 -0.327404596 0.944877406
160.300000000 19.958936175 -0.360883020 -0.049491521 0.001888892 -0.001613630 -0.360530992 0.932743926
160.400000000 19.977046954 -0.391950770 -0.062652203 0.004857023 0.004715973 -0.384474972 0.923110592
160.500000000 19.998882135 -0.430462373 -0.070269136 -0.003879311 0.012231681 -0.424677204 0.905253892
160.600000000 20.001668740 -0.461921897 -0.076872082 -0.002059189 -0.001454326 -0.458239498 0.888825184
160.700000000 20.009979759 -0.499409750 -0.083287671 -0.003661532 -0.001835151 -0.492634185 0.870226859
160.800000000 20.021523143 -0.539203540 -0.092135490 -0.001702212 0.015736996 -0.520977684 0.853423519
160.900000000 20.031487042 -0.571037490 -0.103430013 -0.008138797 0.013333508 -0.552415832 0.833422297
161.000000000 20.020296349 -0.603715460 -0.076057211 -0.009784039 -0.002907819 -0.582466980 0.812790277
161.100000000 20.018524284 -0.645549268 -0.062496067 0.003423448 0.004296004 -0.602522014 0.798083358
161.200000000 20.012951591 -0.692365913 -0.045650184 0.000121637 0.009969109 -0.637436262 0.770438585
161.300000000 19.998828465 -0.726770997 -0.044405088 -0.003151523 -0.002041995 -0.667519116 0.744583191
161.400000000 19.977813622 -0.765840588 -0.030150072 0.004090684 -0.002521993 -0.696316748 0.717718532
161.500000000 19.961549268 -0.795774521 -0.040616348 0.007442839 -0.001273254 -0.715444700 0.698628560
161.600000000 19.940655804 -0.836961802 -0.029782681 -0.000299117 0.006797479 -0.746570023 0.665272054
161.700000000 19.914872644 -0.859867820 -0.020952773 -0.000990624 -0.002510425 -0.772957753 0.634451754
161.800000000 19.888722284 -0.892709025 -0.024063441 0.001730154 -0.004263346 -0.796795906 0.604231011
161.900000000 19.872068378 -0.929113756 -0.027458568 0.002723029 0.013575632 -0.809929967 0.586363143
162.000000000 19.862451885 -0.966813875 -0.025007799 -0.005022551 0.012316446 -0.819823728 0.572461470
162.200000000 19.845237944 -1.028827982 -0.053635843 0.004058520 0.003752663 -0.811294606 0.584611417
164.100000000 19.647305664 -1.668605022 -0.047428657 0.001460612 0.010730012 -0.799785623 0.600188046
164.200000000 19.660601481 -1.710368088 -0.053849865 -0.002953967 0.013431139 -0.776228622 0.630301520
164.300000000 19.669186966 -1.743577192 -0.038256086 -0.001308188 0.003328321 -0.744974006 0.667083908
164.400000000 19.681617327 -1.776948877 -0.052091872 0.001813708 -0.006756041 -0.712068956 0.702074689
164.500000000 19.701633086 -1.808001579 -0.033289812 -0.001754944 -0.010157264 -0.681096613 0.732120997
164.600000000 19.719392746 -1.845873707 -0.057644021 0.007566142 0.004874829 -0.658325370 0.752679678
164.700000000 19.739380140 -1.889929930 -0.050925446 0.024370935 -0.002367596 -0.622581307 0.782171955
164.800000000 19.768564417 -1.905493695 -0.039964767 -0.003246599 -0.011319955 -0.584745334 0.811131440
164.900000000 19.790792130 -1.932967654 -0.025604749 -0.000704132 -0.019669645 -0.555809740 0.831076496
165.000000000 19.819902509 -1.966729428 -0.048418655 0.007433594 0.004435031 -0.535703939 0.844361511
165.100000000 19.852331915 -2.000489403 -0.052019005 0.018836206 -0.000505954 -0.490794153 0.871071777
165.200000000 19.887966273 -2.008476643 -0.042776889 -0.002335057 -0.001957341 -0.453887641 0.891053716
165.300000000 19.921412343 -2.029955609 -0.071474646 -0.005031648 0.006050261 -0.429067301 0.903238245
165.400000000 19.953836190 -2.048835173 -0.069397843 0.002891432 0.007696668 -0.393966510 0.919088021
165.500000000 19.992602686 -2.059267985 -0.077406083 -0.000547651 -0.001662792 -0.352329511 0.935874378
165.600000000 20.029020924 -2.066241181 -0.069166666 0.001234776 -0.004772513 -0.316586073 0.948550977
165.700000000 20.065827047 -2.080879869 -0.092573075 0.006607017 0.010963407 -0.289124339 0.957205969
165.800000000 20.107570792 -2.101557978 -0.061349804 0.024816928 0.011696061 -0.247718213 0.968443601
165.900000000 20.135042166 -2.100226592 -0.051052568 0.001144379 -0.005317611 -0.215286349 0.976535817
166.000000000 20.172661041 -2.100061203 -0.039124396 0.005706219 -0.011798367 -0.176066495 0.984291028
166.100000000 20.217337725 -2.101833157 -0.053203834 0.003670991 0.007976925 -0.147717525 0.988990609
166.200000000 20.263404889 -2.107033250 -0.052312226 0.012738204 0.007342534 -0.104337106 0.994433303
